Restaurant ,Food Category ,Item_Name ,Item Description 2015 ,Servings Per Item 2015 ,Serving Size 2015 ,Serving Size Unit 2015 ,Servings Size Text 2015 ,Calories 2015 ,Protein (g) 2015 ,Menu_Item_ID
Burger King,Burgers,A1 Ultimate Bacon Cheeseburger,"A1 Ultimate Bacon Cheeseburger on an Artisan Bun w/ 2 1/4 lb Patties, Smoked Bacon, American Cheese, Onions & A1 Steak Sauce, Flame Broiled Burgers",,301,g,,850,41,91352
Burger King,Burgers,Bacon Cheeseburger,"Bacon Cheeseburger on a Toasted Sesame Seed Bun w/ Beef Patty, Smoked Bacon, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,112,g,,290,12,11442
Burger King,Burgers,Bacon Cheeseburger Deluxe,"Bacon Cheeseburger Deluxe on a Toasted Sesame Seed Bun w/ Beef Patty, Juicy Tomatoes, Fresh Cut Lettuce, Smoked Bacon, Crunchy Pickles, Sliced White Onions & American Cheese, Flame Broiled Burgers, King Deals Value Menu",,147,g,,290,12,91354
Burger King,Burgers,Bacon Double Cheeseburger,"Bacon Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Beef Patties, Smoked Bacon, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,148,g,,390,17,11474
Burger King,Burgers,Big King Sandwich,"Big King Sandwich on a Toasted Sesame Seed Bun w/ 2 Beef Patties, American Cheese, Iceberg Lettuce, Onions, Pickles & Thousand Island Dressing, Flame Broiled Burgers",,198,g,,530,19,60360
Burger King,Burgers,BK Veggie Burger,"BK Veggie Burger on a Sesame Seed Bun w/ Lettuce, Tomatoes, Onions & Ketchup w/out Mayo, Chicken & More, also called Morningstar Veggie Burger",,197,g,,320,21,11464
Burger King,Burgers,BK Veggie Burger w/ Mayo,"BK Veggie Burger on a Sesame Seed Bun w/ Mayo, Tomatoes, Onion, Lettuce & Ketchup, Chicken & More, also called Morningstar Veggie Burger",,214,g,,390,21,797
Burger King,Burgers,Cheeseburger,"Cheeseburger on a Sesame Seed Bun w/ American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, Entrees, Kids Meals, Kids & Adults, King Deals Value Menu",,111,g,,270,11,8
Burger King,Burgers,Double Cheeseburger,"Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Beef Patties, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,142,g,,360,16,14
Burger King,Burgers,Double Hamburger,"Double Hamburger, Flame Broiled Burgers",,128,g,,320,14,12
Burger King,Burgers,Double Whopper Sandwich,"Double Whopper Sandwich on a Sesame Seed Bun w/ Tomatoes, Lettuce, Onions, Ketchup & Pickles w/out Mayo, Whopper Sandwiches",,353,g,,770,35,11489
Burger King,Burgers,Double Whopper Sandwich w/ Cheese,"Double Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Tomatoes, Lettuce, Onions, Ketchup & Pickles w/out Mayo, Whopper Sandwiches",,376,g,,850,39,11488
Burger King,Burgers,Double Whopper Sandwich w/ Cheese & Mayo,"Double Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,421,g,,1070,44,27
Burger King,Burgers,Double Whopper Sandwich w/ Mayo,"Double Whopper Sandwich on a Sesame Seed Bun w/ Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,375,g,,900,35,25
Burger King,Burgers,Extra Long BBQ Cheeseburger,"Extra Long BBQ Cheeseburger on a Toasted Hoagie Bun w/ Beef Patty, Onion Rings, American Cheese & BBQ Sauce, Flame Broiled Burgers",,202,g,,590,22,91353
Burger King,Burgers,Four Cheese Whopper,"Four Cheese Whopper on a Sesame Seed Bun w/ 1/4 lb Patty, American Cheese, Three Cheese Creamy Blend, Cheddar Sauce, Lettuce, Juicy Tomatoes & Onions, Whopper Sandwiches",,308,g,,850,32,91351
Burger King,Burgers,Hamburger,"Hamburger on Sesame Seed Bun w/ Fire Grilled Patty, Pickles, Mustard & Ketchup, Flame Broiled Burgers, Kids & Adults Menu, Kids Entree",,100,g,,230,9,7
Burger King,Burgers,King Jr Cheeseburger,"King Jr Cheeseburger, Flame Broiled Burgers, King Deals Value Menu",,127,g,,310,11,91355
Burger King,Burgers,Rodeo Burger,"Rodeo Burger on a Toasted Sesame Seed Bun w/ Beef Patty, Sweet & Smoky BBQ Sauce & Crispy Golden Onion Rings, King Deals Value Menu",,111,g,,310,9,60364
