Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"	Carl's Jr.",Burgers,1/2 lb Mile High Bacon Cheeseburger,"1/2 lb Mile High Bacon Cheeseburger w/ Thick Cut Applewood Smoked Bacon & Black Angus Beef Patty, Charbroiled Burgers",,427,g,,1230,88,56,14,53,91840
"	Carl's Jr.",Burgers,1/3 lb Mile High Bacon Cheeseburger,"1/3 lb Mile High Bacon Cheeseburger w/ Thick Cut Applewood Smoked Bacon & Black Angus Beef Patty, Charbroiled Burgers",,355,g,,1010,67,56,13,42,91841
"	Carl's Jr.",Burgers,Big Hamburger,"Big Hamburger, Charbroiled Burgers",,203,g,,480,18,56,13,25,44
"	Carl's Jr.",Burgers,Breakfast Burger,"Breakfast Burger on a Sesame Seed Bun w/ Beef Patty, Bacon, Ketchup, Egg, American Cheese & Hash Brown Nuggets, Burgers, Burritos & More, Breakfast",,289,g,,800,43,68,13,37,12289
"	Carl's Jr.",Burgers,"Cheeseburger, Kids","Cheeseburger, Kids, Charbroiled Burgers",,127,g,,330,15,34,7,14,12314
"	Carl's Jr.",Burgers,Double Western Bacon Cheeseburger,"Double Western Bacon Cheeseburger w/ Charbroiled Beef Patty, Bacon Strips, Melted American Cheese, Crispy Onion Rings, Tangy BBQ Sauce & Seeded Bun, Charbroiled Burgers",,327,g,,990,53,75,16,52,35
"	Carl's Jr.",Burgers,Famous Star,"Famous Star w/ Beef Patty & Honey Wheat Bun, w/out Mayo, Trim It, Better For You Options",,225,g,,430,18,46,10,24,12301
"	Carl's Jr.",Burgers,Famous Star w/ Cheese,"Famous Star w/ Melted American Cheese, Charbroiled Beef Patty, Lettuce, Tomato, Sliced Onions, Dill Pickles, Special Sauce, Mayonnaise & Seeded Bun, Charbroiled Burgers",,284,g,,670,37,57,13,28,32
"	Carl's Jr.",Burgers,"Famous Star w/ Cheese, Gluten Sensitive","Famous Star w/ Charbroiled Beef Patty, Melted American Cheese, Fixings & Whole Leaf Iceberg Lettuce Wrap, Gluten Sensitive, Better For You Options",,224,g,,430,34,10,5,21,12303
"	Carl's Jr.",Burgers,Guacamole Thickburger,"Guacamole Thickburger on a Sesame Seed Bun w/ Guacamole, Pepper Jack Cheese & Fresh Fixings, Veg It, Better for You Options",,279,g,,670,46,56,13,14,12352
"	Carl's Jr.",Burgers,Guacamole Turkey Burger,"Guacamole Turkey Burger on a Honey Wheat Bun w/ Charbroiled Turkey Burger, Freshly Prepared Guacamole, Pepper Jack Cheese, Tomato & Whole Leaf Lettuce, Turkey Burgers, Better for You Options, Charbroiled Turkey Burgers",,277,g,,480,19,44,9,32,12307
"	Carl's Jr.",Burgers,"Hamburger, Kids","Hamburger, Kids, Charbroiled Burgers",,111,g,,270,10,33,7,11,45
"	Carl's Jr.",Burgers,Jalapeno Turkey Burger,"Jalapeno Turkey Burger on a Wheat Bun w/ Charbroiled Turkey Burger, Santa Fe Sauce, Jalapeno Coins, Pepper Jack Cheese, Red Onion Slices, Tomato & Lettuce Turkey Burgers, Better for You Options, Charbroiled Turkey Burgers",,278,g,,500,22,43,9,31,29513
"	Carl's Jr.",Burgers,Single Mile High Bacon Cheeseburger,"Single Mile High Bacon Cheeseburger w/ Thick Cut Applewood Smoked Bacon & Black Angus Beef Patty, Charbroiled Burgers",,302,g,,860,53,56,12,41,91842
"	Carl's Jr.",Burgers,Super Star w/ Cheese,"Super Star w/ 2 Slices of American Cheese, 2 Charbroiled Beef Patties, Lettuce, 2 Slices of Tomato, Sliced Onions, Dill Pickles, Special Sauce, Mayonnaise & Seeded Bun, Charbroiled Burgers",,390,g,,930,56,59,14,48,33
"	Carl's Jr.",Burgers,Teriyaki Burger,"Teriyaki Burger, Charbroiled Burgers",,316,g,,630,29,65,20,28,12338
"	Carl's Jr.",Burgers,Teriyaki Turkey Burger,"Teriyaki Turkey Burger on a Honey Wheat Bun w/ Charbroiled Turkey Burger, Grilled Pineapple, Teriyaki Glaze, Swiss Cheese, Red Onion, Tomato & Whole Leaf Lettuce, Turkey Burgers, Better for You Options, Charbroiled Turkey Burgers",,320,g,,480,14,56,19,32,12340
"	Carl's Jr.",Burgers,The 1/2 lb Guacamole Bacon Thickburger,"The 1/2 lb Guacamole Bacon Thickburger on a Fresh Baked Bun w/ 1/2 lb Charbroiled Black Angus Patty, Guacamole, 2 Strips of Bacon, 2 Slices of Melted Pepper Jack Cheese, Lettuce, 2 Slices of Tomato, Red Onions & Santa Fe Sauce, Charbroiled Burgers",,443,g,,1210,89,57,14,43,91847
"	Carl's Jr.",Burgers,The 1/2 lb Jalapeno Thickburger,"The 1/2 lb Jalapeno Thickburger on a Fresh Baked Bun w/ 1/2 lb Charbroiled Black Angus Beef Patty, Pepper Jack Cheese, Jalapeno Coins & Santa Fe Sauce, Charbroiled Burgers",,413,g,,1090,80,55,13,39,91849
"	Carl's Jr.",Burgers,The 1/2 lb Low Carb Thickburger,"The 1/2 lb Low Carb Thickburger in Fresh Iceberg Whole Leaf Lettuce w/ 1/2 lb Charbroiled Black Angus Patty, 2 Slices of American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers, Low Carb It, Better for You Options",,330,g,,670,56,9,5,33,91851
"	Carl's Jr.",Burgers,The 1/2 lb Original Six Dollar Thickburger,"The 1/2 lb Original Six Dollar Thickburger on a Fresh Baked Bun w/ Black Angus Beef Patty, 2 Slices of Melted American Cheese, Lettuce, 2 Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers",,418,g,,1050,72,62,20,40,91843
"	Carl's Jr.",Burgers,The 1/2 lb Western Bacon Thickburger,"The 1/2 lb Western Bacon Thickburger on a Fresh Baked Bun w/ 1/2 lb Charbroiled Black Angus Beef Patty, 2 Strips of Bacon, 2 Slices of Melted American Cheese, Crispy Onion Rings & Tangy BBQ Sauce, Charbroiled Burgers",,351,g,,1090,69,74,17,44,91845
"	Carl's Jr.",Burgers,The 1/3 lb Guacamole Bacon Thickburger,"The 1/3 lb Guacamole Bacon Thickburger on a Fresh Baked Bun w/ 1/3 lb Charbroiled Black Angus Patty, Guacamole, 2 Strips of Bacon, Melted Pepper Jack Cheese, Lettuce, Tomatoes, Red Onions & Santa Fe Sauce, Charbroiled Burgers",,373,g,,990,68,56,13,32,91848
"	Carl's Jr.",Burgers,The 1/3 lb Jalapeno Thickburger,"The 1/3 lb Jalapeno Thickburger on a Fresh Baked Bun w/ 1/3 lb Charbroiled Black Angus Beef Patty, Pepper Jack Cheese, Jalapeno Coins & Santa Fe Sauce, Charbroiled Burgers",,343,g,,880,58,54,12,28,91850
"	Carl's Jr.",Burgers,The 1/3 lb Low Carb Thickburger,"The 1/3 lb Low Carb Thickburger in Fresh Iceberg Whole Leaf Lettuce w/ 1/3 lb Charbroiled Black Angus Patty, American Cheese, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers, Low Carb It, Better for You Options",,259,g,,450,34,9,5,22,91852
"	Carl's Jr.",Burgers,The 1/3 lb Original Six Dollar Thickburger,"The 1/3 lb Original Six Dollar Thickburger on a Fresh Baked Bun w/ Black Angus Beef Patty, Melted American Cheese, Lettuce, 2 Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise & Ketchup, Charbroiled Burgers",,347,g,,830,51,62,19,29,91844
"	Carl's Jr.",Burgers,The 1/3 lb Western Bacon Thickburger,"The 1/3 lb Western Bacon Thickburger on a Fresh Baked Bun w/ 1/3 lb Charbroiled Black Angus Beef Patty, 2 Strips of Bacon, Melted American Cheese, Crispy Onion Rings & Tangy BBQ Sauce, Charbroiled Burgers",,279,g,,870,47,74,17,33,91846
"	Carl's Jr.",Burgers,The Big Carl Burger,"The Big Carl Burger w/ Beef Patty, American Cheese, Classic Sauce, Lettuce & Seeded Bun, Charbroiled Burgers",,321,g,,920,58,56,12,47,12341
"	Carl's Jr.",Burgers,The Double All Natural Burger,"The Double All Natural Burger w/ Beef Patty, Natural Cheddar & Vine Ripened Tomatoes, Charbroiled Burgers",,399,g,,1030,64,62,19,53,91839
"	Carl's Jr.",Burgers,"The Guacamole Thickburger, Gluten Sensitive","The Guacamole Thickburger w/ Black Angus Beef Patty, Bacon, Fresh Guacamole, Fixings & Whole Leaf Iceberg Lettuce Wrap, Gluten Sensitive, Better For You Options",,376,g,,780,66,9,5,41,12304
"	Carl's Jr.",Burgers,"The Low Carb Thickburger, Gluten Sensitive","The Low Carb Thickburger w/ Charbroiled Black Angus Beef Patty, Lettuce Wrap, 2 Slices of Melted American Cheese, Lettuce, 2 Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise & Ketchup, Gluten Sensitive, Better For You Options",,299,g,,560,42,9,5,38,41
"	Carl's Jr.",Burgers,The Single All Natural Burger,"The Single All Natural Burger w/ Beef Patty, Natural Cheddar & Vine Ripened Tomatoes, Charbroiled Burgers",,315,g,,760,44,61,19,31,91838
"	Carl's Jr.",Burgers,Turkey Burger,"Turkey Burger on a Honey Wheat Bun w/ Charbroiled Turkey Burger, Special Sauce, Mayonnaise, Red Onion, Tomato, Whole Leaf Lettuce & Dill Pickle Chips, Turkey Burgers, Better for You Options, Charbroiled Turkey Burgers",,268,g,,490,22,45,10,29,12295
"	Carl's Jr.",Burgers,Western Bacon Cheeseburger,"Western Bacon Cheeseburger w/ Charbroiled Beef Patty, 2 Strips of Bacon, Melted American Cheese, 2 Crispy Onion Rings, Tangy BBQ Sauce & Seeded Bun, Charbroiled Burgers",,245,g,,730,34,74,16,33,34
"	Carl's Jr.",Entrees,Biscuit 'n' Gravy,"Biscuit 'n' Gravy w/ Hot Sausage Gravy & Scratch Biscuit, Made From Scratch Biscuits, Breakfast",,227,g,,460,26,49,2,9,12358
"	Carl's Jr.",Entrees,"Biscuit 'n' Gravy, California","Biscuit 'n' Gravy, Breakfast, California",,228,g,,450,24,50,3,9,29554
"	Carl's Jr.",Entrees,"Chicken Stars, 4 Pieces","Chicken Stars, 4 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Dipping Sauce",,61,g,4 Pieces,170,10,12,0,8,1173
"	Carl's Jr.",Entrees,"Chicken Stars, 6 Pieces","Chicken Stars, 6 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Dipping Sauce",,91,g,6 Pieces,260,16,18,0,12,1174
"	Carl's Jr.",Entrees,"Chicken Stars, 9 Pieces","Chicken Stars, 9 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Dipping Sauce",,137,g,9 Pieces,390,23,26,0,18,1175
"	Carl's Jr.",Entrees,"Chicken Taquitos, 3 Piece","Chicken Taquitos, 3 Piece w/ Shredded Lettuce, Shredded Jack Cheese, Shredded Cheddar Cheese & Avocado, Cilantro Sauce, Specialties, Green Burrito",,159,g,3 Pieces,400,20,37,2,18,29545
"	Carl's Jr.",Entrees,"Chicken Taquitos, 5 Piece","Chicken Taquitos, 5 Piece w/ Shredded Lettuce, Shredded Jack Cheese & Shredded Cheddar Cheese, Avocado Cilantro Sauce, Specialties, Green Burrito",,242,g,5 Pieces,620,30,62,4,28,29546
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 10 Pieces","Hand Breaded Chicken Tenders, 10 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",2,213,g,5 Pieces,440,21,21,0,41,12373
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 15 Pieces","Hand Breaded Chicken Tenders, 15 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",3,213,g,5 Pieces,440,21,21,0,41,12374
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 2 Pieces, Kids","Hand Breaded Chicken Tenders, 2 Pieces, Kids, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",,85,g,2 Pieces,180,9,9,0,16,12381
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 20 Pieces","Hand Breaded Chicken Tenders, 20 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",4,213,g,5 Pieces,440,21,21,0,41,12375
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 3 Pieces","Hand Breaded Chicken Tenders, 3 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",,128,g,3 Pieces,260,13,13,0,25,12371
"	Carl's Jr.",Entrees,"Hand Breaded Chicken Tenders, 5 Pieces","Hand Breaded Chicken Tenders, 5 Pieces, Chicken & More, Chicken & Other Choices; Choice of Adding: Honey Mustard Dipping Sauce, Buttermilk Ranch Dipping Sauce or Sweet & Bold BBQ Dipping Sauce",,213,g,,440,21,21,0,41,12372
"	Carl's Jr.",Entrees,Hearty Breakfast Platter,"Hearty Breakfast Platter w/ Eggs, Bacon, Sausage Patty, Hash Brown Nuggets & Biscuit, Burritos & More, Breakfast",,247,g,,840,59,57,3,22,91853
"	Carl's Jr.",Entrees,"Hearty Breakfast Platter, California","Hearty Breakfast Platter w/ Eggs, Bacon, Sausage Patty, Hash Brown Nuggets & Biscuit, Burritos & More, Breakfast, California",,248,g,,840,57,58,3,22,91854
"	Carl's Jr.",Entrees,"Quesadilla, Cheese","Quesadilla, Cheese w/ Jack Cheese, Cheddar Cheese, Santa Fe Sauce & Flour Tortilla, Specialties, Green Burrito",,133,g,,520,34,37,0,16,12383
"	Carl's Jr.",Entrees,"Quesadilla, Chicken","Quesadilla, Chicken w/ Charbroiled Chicken, Jack Cheese, Cheddar Cheese, Santa Fe Sauce & Flour Tortilla, Specialties, Green Burrito",,218,g,,630,39,42,2,26,12384
"	Carl's Jr.",Entrees,"Quesadilla, Steak","Quesadilla, Steak w/ Charbroiled Steak, Jack Cheese, Cheddar Cheese, Santa Fe Sauce & Flour Tortilla, Green Burrito Menu, Specialties, Green Burrito",,218,g,,640,39,41,1,31,12385
"	Carl's Jr.",Fried Potatoes,Bacon Ranch Fries,"Bacon Ranch Fries w/ Natural Cut Golden Fries, Ranch Dressing & Crispy Bacon Bits, Sides",,238,g,,800,51,74,2,12,91855
"	Carl's Jr.",Fried Potatoes,Chili Cheese Fries,"Chili Cheese Fries w/ Natural Cut Fries, Chili & Shredded Melted Jack & Cheddar Cheeses, Sides",,317,g,,810,46,80,2,21,1560
"	Carl's Jr.",Fried Potatoes,Crisscut Fries,"Crisscut Fries, Sides",,139,g,,450,29,42,0,5,1559
"	Carl's Jr.",Fried Potatoes,"Hash Brown Nuggets, Large","Hash Brown Nuggets, Large, Breakfast Sides, Breakfast",,173,g,,560,37,52,0,5,29512
"	Carl's Jr.",Fried Potatoes,"Hash Brown Nuggets, Medium","Hash Brown Nuggets, Medium, Breakfast Sides, Breakfast",,119,g,,390,26,36,0,3,29511
"	Carl's Jr.",Fried Potatoes,"Hash Brown Nuggets, Small","Hash Brown Nuggets, Small, Breakfast Sides, Breakfast",,108,g,,350,23,32,0,3,1652
"	Carl's Jr.",Fried Potatoes,"Natural Cut French Fries, Kids","Natural Cut French Fries, Sides, Kids",,83,g,,240,12,31,0,3,1555
"	Carl's Jr.",Fried Potatoes,"Natural Cut French Fries, Large","Natural Cut French Fries, Large, Sides",,158,g,,460,22,59,0,5,1558
"	Carl's Jr.",Fried Potatoes,"Natural Cut French Fries, Medium","Natural Cut French Fries, Medium, Sides",,147,g,,430,21,55,0,5,1557
