Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
Au Bon Pain,Burgers,"Chipotle Black Bean Burger w/ Avocado, 1/2 Sandwich","Chipotle Black Bean Burger w/ Avocado on Ciabatta w/ Tomatoes, Avocado, Chipotle Cheddar Cheese & Caramelized Onions, Signature Sandwiches, Cold Sandwiches, 1/2 Sandwich",,174,g,1/2 Sandwich,350,16,39,4,16,90228
Au Bon Pain,Burgers,"Chipotle Black Bean Burger w/ Avocado, Whole Sandwich","Chipotle Black Bean Burger w/ Avocado on Ciabatta w/ Tomatoes, Avocado, Chipotle Cheddar Cheese & Caramelized Onions, Signature Sandwiches, Cold Sandwiches, Whole Sandwich",,334,g,Whole Sandwich,700,33,77,8,32,35292
Au Bon Pain,Entrees,"Apple Cinnamon Oatmeal, Large","Apple Cinnamon Oatmeal w/ Fresh Apples & Cinnamon, Oatmeal, Hot Breakfast, Large, 16 oz",,454,g,,370,6,75,6,11,25851
Au Bon Pain,Entrees,"Apple Cinnamon Oatmeal, Medium","Apple Cinnamon Oatmeal w/ Fresh Apples & Cinnamon, Oatmeal, Hot Breakfast, Medium, 12 oz",,340,g,,280,4,56,14,8,25852
Au Bon Pain,Entrees,"Apple Cinnamon Oatmeal, Small","Apple Cinnamon Oatmeal w/ Fresh Apples & Cinnamon, Oatmeal, Hot Breakfast, Small, 8 oz",,227,g,,190,3,37,10,6,25853
Au Bon Pain,Entrees,Banana & Greek Yogurt Parfait,"	Banana & Greek Yogurt Parfait w/ Greek Nonfat Vanilla Yogurt, Honey Glazed Banana & Toasted Granola, All Snacks, Petit Plates & Snacks, Winter Menu, 11.5 oz",,326,g,,390,6,65,42,24,65072
Au Bon Pain,Entrees,Blueberry Yogurt & Wild Blueberry Parfait,"	Blueberry Yogurt & Wild Blueberry Parfait, All Snacks, Petit Plates & Snacks, 10.3 oz",,292,g,,410,8,76,53,12,35302
Au Bon Pain,Entrees,"Chicken Nuggets, Kids","Chicken Nuggets, Kids Meal; Choice of Adding: Fresh Fruit, Chips or Carrots & Beverage",,113,g,,290,15,17,1,21,35307
Au Bon Pain,Entrees,Chicken Parmesan,"Chicken Parmesan w/ Marinara Sauce, Entrees, 1 oz",,28,g,,30,"	1.5",1,0,4,90233
Au Bon Pain,Entrees,"Classic Oatmeal, Large","Classic Oatmeal, Oatmeal, Hot Breakfast, Large, 16 oz; Choice of Adding: Toppings",,454,g,,340,6,63,1,13,3778
Au Bon Pain,Entrees,"Classic Oatmeal, Medium","Classic Oatmeal, Oatmeal, Hot Breakfast, Medium, 12 oz; Choice of Adding: Toppings",,340,g,,260,5,47,1,10,3779
Au Bon Pain,Entrees,"Classic Oatmeal, Small","Classic Oatmeal, Oatmeal, Hot Breakfast, Small, 8 oz; Choice of Adding: Toppings",,227,g,,170,3,32,1,6,3780
Au Bon Pain,Entrees,Eggplant Parmesan,"Eggplant Parmesan w/ Marinara Sauce, Hot & Cold Lunch Bar, Entrees, 1 oz",,28,g,,50,3,4,1,2,26009
Au Bon Pain,Entrees,Greek Vanilla Yogurt & Wild Blueberry Parfait,"	Greek Vanilla Yogurt & Wild Blueberry Parfait w/ Greek Nonfat Vanilla Yogurt, Wild Blueberries & Honey Granola, All Snacks, Petit Plates & Snacks, 10.3 oz",,292,g,,340,6,51,34,24,35303
Au Bon Pain,Entrees,Hard Boiled Eggs,"Hard Boiled Eggs, All Snacks, Petit Plates & Snacks, 2 Eggs",,100,g,2 Eggs,150,11,1,1,13,90236
