Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"Burger King",Burgers,"A1 Ultimate Bacon Cheeseburger","A1 Ultimate Bacon Cheeseburger on an Artisan Bun w/ 2 1/4 lb Patties, Smoked Bacon, American Cheese, Onions & A1 Steak Sauce, Flame Broiled Burgers",,301,g,,850,51,43,8,41,91352
"Burger King",Burgers,"Bacon Cheeseburger","Bacon Cheeseburger on a Toasted Sesame Seed Bun w/ Beef Patty, Smoked Bacon, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,112,g,,290,13,27,7,12,11442
"Burger King",Burgers,"Bacon Cheeseburger Deluxe","Bacon Cheeseburger Deluxe on a Toasted Sesame Seed Bun w/ Beef Patty, Juicy Tomatoes, Fresh Cut Lettuce, Smoked Bacon, Crunchy Pickles, Sliced White Onions & American Cheese, Flame Broiled Burgers, King Deals Value Menu",,147,g,,290,14,28,7,12,91354
"Burger King",Burgers,"Bacon Double Cheeseburger","Bacon Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Beef Patties, Smoked Bacon, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,148,g,,390,21,27,7,17,11474
"Burger King",Burgers,"Big King Sandwich","Big King Sandwich on a Toasted Sesame Seed Bun w/ 2 Beef Patties, American Cheese, Iceberg Lettuce, Onions, Pickles & Thousand Island Dressing, Flame Broiled Burgers",,198,g,,530,31,38,8,19,60360
"Burger King",Burgers,"BK Veggie Burger","BK Veggie Burger on a Sesame Seed Bun w/ Lettuce, Tomatoes, Onions & Ketchup w/out Mayo, Chicken & More, also called Morningstar Veggie Burger",,197,g,,320,8,43,9,21,11464
"Burger King",Burgers,"BK Veggie Burger w/ Mayo","BK Veggie Burger on a Sesame Seed Bun w/ Mayo, Tomatoes, Onion, Lettuce & Ketchup, Chicken & More, also called Morningstar Veggie Burger",,214,g,,390,16,44,9,21,797
"Burger King",Burgers,Cheeseburger,"Cheeseburger on a Sesame Seed Bun w/ American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, Entrees, Kids Meals, Kids & Adults, King Deals Value Menu",,111,g,,270,12,27,7,11,8
"Burger King",Burgers,"Double Cheeseburger","Double Cheeseburger on a Toasted Sesame Seed Bun w/ 2 Beef Patties, American Cheese, Crinkle Cut Pickles, Yellow Mustard & Ketchup, Flame Broiled Burgers, King Deals Value Menu",,142,g,,360,19,27,7,16,14
"Burger King",Burgers,"Double Hamburger","Double Hamburger, Flame Broiled Burgers",,128,g,,320,15,26,6,14,12
"Burger King",Burgers,"Double Whopper Sandwich","Double Whopper Sandwich on a Sesame Seed Bun w/ Tomatoes, Lettuce, Onions, Ketchup & Pickles w/out Mayo, Whopper Sandwiches",,353,g,,770,41,50,12,35,11489
"Burger King",Burgers,"Double Whopper Sandwich w/ Cheese","Double Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Tomatoes, Lettuce, Onions, Ketchup & Pickles w/out Mayo, Whopper Sandwiches",,376,g,,850,48,51,13,39,11488
"Burger King",Burgers,"Double Whopper Sandwich w/ Cheese & Mayo","Double Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,421,g,,1070,70,52,14,44,27
"Burger King",Burgers,"Double Whopper Sandwich w/ Mayo","Double Whopper Sandwich on a Sesame Seed Bun w/ Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,375,g,,900,56,50,12,35,25
