Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"	Chick-Fil-A",Entrees,"1 Chick N Strips, Kids","1 Chick N Strips, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","1 Count",120,6,5,1,11,29579
"	Chick-Fil-A",Entrees,"12 Grilled Nuggets","12 Grilled Nuggets, Classics, Low Carb Lunch & Dinner, Healthy Menu; Choice of Adding: Dipping Sauces",,"	-"," ","12 Count",200,"	4.5",6,1,34,92129
"	Chick-Fil-A",Entrees,"12 Nuggets","12 Nuggets, Classics; Choice of Adding: Dipping Sauces",,"	-"," ","12 Count",400,19,15,2,41,1180
"	Chick-Fil-A",Entrees,"2 Chick N Strips, Kids","2 Chick N Strips, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","2 Count",240,12,11,1,22,29578
"	Chick-Fil-A",Entrees,"3 Chick n Strips","3 Chick n Strips, Classics",,"	-"," ","3 Count",360,18,16,2,33,12678
"	Chick-Fil-A",Entrees,"4 Chick n Strips","4 Chick n Strips, Classics",,"	-"," ","4 Count",470,24,21,2,43,1181
"	Chick-Fil-A",Entrees,"4 Grilled Nuggets, Kids","4 Grilled Nuggets, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","4 Count",70,"	1.5",2,0,11,29582
"	Chick-Fil-A",Entrees,"4 Nuggets, Kids","4 Nuggets, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","4 Count",130,6,5,1,14,29581
"	Chick-Fil-A",Entrees,"6 Grilled Nuggets, Kids","6 Grilled Nuggets, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","6 Count",100,"	2.5",3,1,17,29583
"	Chick-Fil-A",Entrees,"6 Nuggets, Kids","6 Nuggets, Kids Meal; Choice of Adding: Sides & Beverages",,"	-"," ","6 Count",200,10,7,1,21,29580
"	Chick-Fil-A",Entrees,"8 Grilled Nuggets","8 Grilled Nuggets, Classics, Low Calorie Lunch & Dinner, Low Carb Lunch & Dinner, Low Fat Lunch & Dinner Healthy Menu; Choice of Adding: Dipping Sauces",,"	-"," ","8 Count",140,3,4,1,23,92128
"	Chick-Fil-A",Entrees,"8 Nuggets","8 Nuggets, Classics; Choice of Adding: Dipping Sauces",,"	-"," ","8 Count",270,13,10,1,28,12684
"	Chick-Fil-A",Entrees,"Bacon Platter","Bacon Platter w/ Scrambled Eggs, 4 Stripes of Smoked Applewood Bacon, Sausage, White Pepper Gravy on a Buttermilk Biscuit, Breakfast; Choice of Adding: Spicy Chicken Breast, Boneless Chicken Breast, Sliced Pork Sausage",,"	-"," ",,600,33,52,6,23,29571
"	Chick-Fil-A",Entrees,"Chicken Platter","Chicken Platter w/ Scrambled Eggs, Boneless Chicken Breast, Sausage, White Pepper Gravy on a Buttermilk Biscuit, Breakfast; Choice of Adding: Spicy Chicken Breast, 4 Stripes of Smoked Applewood Bacon, Pork Sausage",,"	-"," ",,680,37,58,7,30,29570
"	Chick-Fil-A",Entrees,"Multigrain Oatmeal","Multigrain Oatmeal w/out Toppings, Breakfast",,"	-"," ",,140,"	2.5",28,4,0,12681
"	Chick-Fil-A",Entrees,"Multigrain Oatmeal w/ Fruit","Multigrain Oatmeal w/ Fruit, Breakfast",,"	-"," ",,140,3,29,5,0,92130
"	Chick-Fil-A",Entrees,"Multigrain Oatmeal w/ Toppings","Multigrain Oatmeal w/ Cinnamon Brown Sugar, Roasted Mixed Nuts & Dried Fruit Blend, Breakfast, Low Calorie Breakfast, Healthy Menu",,"	-"," ",,290,11,50,20,2,12682
"	Chick-Fil-A",Entrees,"Sausage Platter","Sausage Platter w/ Scrambled Eggs, Sliced Pork Sausage, White Pepper Gravy on a Buttermilk Biscuit, Breakfast; Choice of Adding: Spicy Chicken Breast, Boneless Chicken Breast, 4 Stripes of Smoked Applewood Bacon",,"	-"," ",,810,54,52,6,28,29572
"	Chick-Fil-A",Entrees,"Yogurt Parfait","Yogurt Parfait w/ Vanilla Yogurt & Fresh Strawberries, Breakfast; Choice of Adding: Harvest Nut Granola or Chocolate Cookie Crumbs",,"	-"," ",,280,"	3.5",53,48,9,12685
"	Chick-Fil-A","Fried Potatoes","Hash Browns","Hash Browns, Sides, Breakfast",,"	-"," ",,240,15,25,0,2,1653
"	Chick-Fil-A","Fried Potatoes","Waffle Potato Fries, Large","Waffle Potato Fries, Large, Side",,"	-"," ",,520,27,63,0,6,12689
"	Chick-Fil-A","Fried Potatoes","Waffle Potato Fries, Medium","Waffle Potato Fries, Medium, Sides",,"	-"," ",,400,21,48,0,5,12690
"	Chick-Fil-A","Fried Potatoes","Waffle Potato Fries, Small","Waffle Potato Fries, Small, Kids & Adults Menu, Sides, Kids Meal",,"	-"," ",,310,16,37,0,3,12691
"	Chick-Fil-A",Salads,"Asian Salad","Asian Salad w/ Sliced Chick Fil a Nuggets, Chopped Romaine Lettuce, Baby Greens, Shredded Red & Green Cabbage, Carrots, Mandarin Orange Segments, Honey Thai Almonds, Chinese Garlic Ginger Wontons & Honey Sesame Dressing, Wraps & Salads, Low Calorie Lunch & Dinner, Healthy Menu; Choice of Adding: Dressings",,"	-"," ",,330,13,24,11,29,60558
"	Chick-Fil-A",Salads,"Cobb Salad","Cobb Salad w/ Sliced Chick Fil a Nuggets, Chopped Romaine Lettuce, Baby Greens, Shredded Red Cabbage, Carrots, Roasted Corn Kernels, Shredded Monterey Jack Cheese, Cheddar Cheese, Crumbled Bacon, Diced Eggs, Grape Tomatoes, Charred Tomato Crispy Red Bell Peppers & Avocado Lime Ranch Dressing, Wraps & Salads, Low Calorie Lunch & Dinner, Healthy Menu; Choice of Adding: Dressings",,"	-"," ",,430,22,22,6,39,60559
"	Chick-Fil-A",Salads,"Grilled Market Salad","Grilled Market Salad w/ Sliced Grilled Chicken Breast, Chopped Romaine Lettuce, Baby Greens, Shredded Red Cabbage, Carrots, Crumbled Blue Cheese, Red & Green Apples, Strawberries, Blueberries, Harvest Nut Granola, Roasted Nut Blend & Apple Cider Vinaigrette, Wraps & Salads, Low Calorie Lunch & Dinner, Low Carb Lunch & Dinner, Low Fat Lunch & Dinner, Healthy Menu; Choice of Adding: Dressings",,"	-"," ",,200,5,17,8,23,60557
"	Chick-Fil-A",Salads,"Side Salad","Side Salad w/ Chopped Romaine Lettuce, Shredded Red Cabbage, Carrots, Monterey Jack Cheese, Cheddar Cheese, Grape Tomatoes & Charred Tomato Crispy Red Bell Peppers, Low Calorie Lunch & Dinner, Low Carb Lunch & Dinner, Healthy Menu; Choice of Adding; Dressing",,"	-"," ",,80,"	4.5",6,3,5,12657
"	Chick-Fil-A",Sandwiches,"3 Chick N Minis","3 Chick N Minis w/ Bite Size Chick Fil a Nuggets on a Mini Yeast Roll, Breakfast, Low Calorie Breakfast, Healthy Menu",,"	-"," ","3 Count",280,11,30,6,15,12669
"	Chick-Fil-A",Sandwiches,"4 Chick N Minis","4 Chick N Minis w/ Bite Size Chick Fil a Nuggets on a Mini Yeast Roll, Breakfast",,"	-"," ","4 Count",370,14,40,8,20,12670
"	Chick-Fil-A",Sandwiches,"Bacon, Egg & Cheese Biscuit","Bacon, Egg & Cheese Biscuit w/ Smoked Applewood Bacon, Folded Egg & Cheese on a Buttermilk Biscuit, Breakfast",,"	-"," ",,450,23,44,6,17,893
"	Chick-Fil-A",Sandwiches,"Chick Fil a Chicken Sandwich","Chick Fill a Chicken Sandwich w/ Boneless Breast of Chicken, Hand Breaded, Peanut Oil & Dill Pickle Chips on a Toasted & Buttered Bun, Classics; Choice of: Multigrain Bun",,"	-"," ",,440,18,41,5,28,300
"	Chick-Fil-A",Sandwiches,"Chicken Biscuit","Chicken Biscuit w/ Boneless Hand Breaded Chicken Breast & Peanut Oil on a Buttermilk Biscuit, Breakfast, Low Calorie Breakfast, Healthy Menu",,"	-"," ",,440,20,48,6,16,892
"	Chick-Fil-A",Sandwiches,"Chicken Breakfast Burrito","Chicken Breakfast Burrito w/ Chunks of Chick Fil a Chicken, Scrambled Eggs, Fire Roasted Onions, Peppers, Monterey Jack Cheese, Cheddar Cheese & Salsa on a Soft Flour Tortilla, Breakfast, Low Calorie Breakfast, Healthy Menu; Choice of Substitute: Spicy Chicken",,"	-"," ",,440,19,43,3,23,1055
"	Chick-Fil-A",Sandwiches,"Chicken Deluxe Sandwich","Chicken Deluxe Sandwich w/ a Boneless Breast Hand Breaded Chicken, Peanut Oil, Dill Pickle Chip, Green Leaf Lettuce, Tomato & American Cheese on a Toasted & Buttered Bun, Classics; Choice of: Multigrain Bun",,"	-"," ",,500,23,43,7,32,12671
"	Chick-Fil-A",Sandwiches,"Chicken Salad Sandwich","Chicken Salad Sandwich w/ Chick Fil a Chicken Breast, Chopped Eggs, Celery, Sweet Pickle Relish, Mayonnaise & Green Leaf Lettuce on Toasted Wheatberry Bread, Classics",,"	-"," ",,500,20,53,12,28,771
"	Chick-Fil-A",Sandwiches,"Chicken, Egg & Cheese Bagel","Chicken, Egg & Cheese Bagel w/ Boneless Chicken Breast, Sliced American Cheese, Folded Egg on a Toasted Sunflower Multigrain Bagel, Breakfast; Choice of Substitute: Spicy Chicken Breast",,"	-"," ",,480,20,48,8,28,894
