"Restaurant","Food Category","Item_Name","Item Description 2015","Servings Per Item 2015","Serving Size 2015","Serving Size Unit 2015","Servings Size Text 2015","Calories 2015","Total Fat (g) 2015","Carbohydrates (g) 2015","Sugar (g) 2015","Protein (g) 2015",Menu_Item_ID
"El Pollo Loco",Entrees,"2 Chicken Legs, Kids","2 Chicken Legs, Kids",,"	-"," ","2 Legs",170,8,0,0,25,94845
"El Pollo Loco",Entrees,"4 Chicken Nuggets w/ BBQ Sauce Dip Cup","4 Chicken Nuggets w/ BBQ Sauce Dip Cup; Choice in: Kids Combo; Choice of Adding: Small Side, Kids Drink & Dipping Sauce; Choice of: Creamy Cilantro Dip Cup or Ranch Dip Cup",,"	-"," ","4 Nuggets",260,13,21,2,16,31224
"El Pollo Loco",Entrees,"Chicken & Grilled Shrimp Tostada","Chicken & Grilled Shrimp Tostada w/ 10"" Wheat Flour Tortilla, Black Beans, Lettuce Blend, Chopped Boneless Chicken Breast, Baja Shrimp, Pico de Gallo Salsa & Cojita Cheese, What's New, 5 Under 500 Calories, Limited Time Offers, Under 500 Calories; Choice of Adding: Low Fat Citrus Vinaigrette",,431,g*,,490,14,50,5,43,94834
"El Pollo Loco",Entrees,"Chicken Avocado Stuffed Quesadilla","Chicken Avocado Stuffed Quesadilla w/ 12"" Flour Tortilla, Chopped Boneless Chicken, Creamy Cilantro Dressing, Cabbage, Pico de Gallo Salsa, Avocado Slices & Shredded Monterey Jack Cheese, Stuffed Quesadillas & Bowls, Favorites",,394,g*,,960,61,59,3,47,31205
"El Pollo Loco",Entrees,"Chicken Enchiladas","Chicken Enchiladas w/ 6"" Yellow Corn/Flour Blend Tortilla, Enchilada Sauce, Cilantro, Broccoli, Ranchero Shredded Chicken, Cojita Cheese & Rice",,369,g*,,450,10,64,11,24,94839
"El Pollo Loco",Entrees,"Chicken Leg, Kids","Chicken Leg, Kids",,45,g*,,90,4,0,0,12,31204
"El Pollo Loco",Entrees,"Chicken Taquito","Chicken Taquito w/ Corn Tortilla, Shredded Chicken Verde & Avocado Salsa, Loco Value Menu, Under 500 Calories, Snack Menu",,94,g*,,220,13,19,2,7,15754
"El Pollo Loco",Entrees,"Chicken Tortilla Roll","Chicken Tortilla Roll w/ 10"" Flour Tortilla, Chopped Boneless Chicken & Shredded Monterey Jack Cheese w/out Salsa or Sauce, Loco Value Menu, Snack Menu",,170,g*,,390,15,37,0,26,94841
"El Pollo Loco",Entrees,"Chicken Tortilla Roll w/ Salsa","Chicken Tortilla Roll w/ 10"" Flour Tortilla, Chopped Boneless Chicken, Shredded Monterey Jack Cheese & Avocado Salsa, Loco Value Menu, Snack Menu; Choice of Adding: Creamy Cilantro Dressing or Queso Sauce",,207,g*,,430,19,39,0,27,15755
"El Pollo Loco",Entrees,"Chicken, Bacon & Guacamole Stuffed Quesadilla","Chicken, Bacon & Guacamole Stuffed Quesadilla w/ 12"" Flour Tortilla, Handmade Guacamole, Chopped Boneless Chicken, Pico de Gallo Salsa, Bacon Topping & Shredded Monterey Jack Cheese, Stuffed Quesadillas & Bowls, What's New",,335,g*,,870,49,55,2,51,31206
"El Pollo Loco",Entrees,"Chopped Breast Meat","	Chopped Breast Meat, Flame-Grilled Chicken",,79,g*,,100,"	1.5",0,0,21,1189
"El Pollo Loco",Entrees,"Chopped Chicken Breast, Corn Tortillas & Vegetables","Chopped Chicken Breast, Corn Tortillas & Vegetables, Kids Live Well",,"	-"," ","1 order",360,"	4.5",53,12,33,31258
"El Pollo Loco",Entrees,"Drumstick, Pinto Beans & Vegetables","Drumstick, Pinto Beans & Vegetables, Kids Live Well",,"	-"," ","1 order",280,8,29,<1,23,31260
"El Pollo Loco",Entrees,"Fire Grilled Chicken Breast","Fire Grilled Chicken Breast, also called Flame Grilled Chicken Breast, Under 500 Calories, Loco Value Menu; Choice in: 2 Piece Combo, 3 Piece Combo, Half Chicken Combo, 8 Piece Chicken Meal, 8 Piece Chicken Meal w/out Sides, 10 Piece Chicken Meal, 12 Piece Chicken Meal & 16 Piece Chicken Meal",,"	-"," ","1 Breast",220,9,0,0,36,1119
"El Pollo Loco",Entrees,"Fire Grilled Skinless Chicken Breast Meal","Fire Grilled Skinless Chicken Breast Meal w/ Skinless Chicken Breast, Fresh Vegetables, Lettuce Blends, Cilantro & Cotija Cheese w/out Tortilla Strips, Healthy Dining, Lindora, Individual Chicken Meals, Under 500 Calories, Healthier For You, also called Skinless Breast Meal & Fire Grilled Skinless Breast Meal",,311,g*,,240,5,12,5,40,1144
"El Pollo Loco",Entrees,"	Fire-Grilled Chicken Leg","	Fire-Grilled Chicken Leg w/ Skin, Under 500 Calories, Loco Value Menu; Choice in: 2 Piece Combo, 3 Piece Combo, Half Chicken Combo, 8 Piece Chicken Meal, 8 Piece Chicken Meal w/out Sides, 10 Piece Chicken Meal, 12 Piece Chicken Meal & 16 Piece Chicken Meal",,"	-"," ","1 Leg",80,4,0,0,12,1116
"El Pollo Loco",Entrees,"	Fire-Grilled Chicken Thigh","	Fire-Grilled Chicken Thigh, Under 500 Calories, Loco Value Menu; Choice in: 2 Piece Combo, 3 Piece Combo, Half Chicken Combo, 8 Piece Chicken Meal, 8 Piece Chicken Meal w/out Sides, 10 Piece Chicken Meal, 12 Piece Chicken Meal & 16 Piece Chicken Meal",,"	-"," ","1 Thigh",210,15,0,0,21,1117
"El Pollo Loco",Entrees,"Macaroni & Cheese, Large","Macaroni & Cheese w/ Elbow Macaroni & Creamy Cheese Sauce, Sides, Large; Choice in: 8 Piece Meal, 10 Piece Meal, 12 Piece Meal & 16 Piece Meal",,425,g*,,690,41,60,8,21,15766
"El Pollo Loco",Entrees,"Macaroni & Cheese, Small","Macaroni & Cheese w/ Elbow Macaroni & Creamy Cheese Sauce, Sides, Small; Choice in: Kids Combo, 3 Piece Combo & Half Chicken Combo, Kids & Adults Menu",,156,g*,,250,15,22,3,8,15792
"El Pollo Loco",Entrees,"Mini Pollo Bowl","Mini Pollo Bowl w/ Pinto Beans, Rice & Chopped Boneless Chicken Breast, Under 500 Calories, Kids Combos; Choice of Adding: Tortillas or Chips & Kids Drink",,"	-"," ","1 Bowl",340,6,48,1,23,15767
