Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
KFC,Entrees,"Chicken Littles Go Cup","Chicken Littles Go Cup, Pot Pie, Bowls, Value Boxes & Go Cup",,209,g,,600,33,58,4,18,61934
KFC,Entrees,"Chicken Pot Pie","Chicken Pot Pie, Pot Pie, Bowls, Value Boxes & Go Cup, Classics",,400,g,,790,45,66,7,29,1286
KFC,Entrees,"Country Fried Steak","Country Fried Steak w/out Peppered White Gravy, Other",,106,g,,360,24,22,0,13,4022
KFC,Entrees,"Country Fried Steak w/ Peppered White Gravy","Country Fried Steak w/ Peppered White Gravy, Other",,150,g,,390,26,26,0,13,4023
KFC,Entrees,"EC Drumstick Value Box","EC Drumstick Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,164,g,,450,25,39,0,16,18384
KFC,Entrees,"EC Thigh Value Box","EC Thigh Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,215,g,,660,41,49,0,22,18385
KFC,Entrees,"Extra Crispy Chicken, Breast","Extra Crispy Chicken, Breast, Chicken",,181,g,,490,29,20,"	-",35,1129
KFC,Entrees,"Extra Crispy Chicken, Drumstick","Extra Crispy Chicken, Drumstick, Chicken",,57,g,,160,10,5,0,13,1130
KFC,Entrees,"Extra Crispy Chicken, Thigh","Extra Crispy Chicken, Thigh, Chicken",,108,g,,370,26,15,0,18,1131
KFC,Entrees,"Extra Crispy Tender","Extra Crispy Tender, Kids, Lil Bucket",,"	-"," ",,350,20,15,0,20,61941
KFC,Entrees,"Extra Crispy Tenders, 1 Piece","Extra Crispy Tenders, 1 Piece, Kids, Strips, Lil Bucket",,52,g,"1 Piece",130,7,6,0,11,61936
KFC,Entrees,"Extra Crispy Tenders, 10 Piece","Extra Crispy Tenders, 10 Piece",,"	-"," ","10 Pieces",1260,66,56,0,109,96741
KFC,Entrees,"Extra Crispy Tenders, 2 Pieces","Extra Crispy Tenders, 2 Pieces, Strips",,103,g,"2 Pieces",250,13,11,0,22,1201
KFC,Entrees,"Extra Crispy Tenders, 3 Pieces","Extra Crispy Tenders, 3 Pieces, Strips",,155,g,"3 Pieces",380,20,17,0,33,1200
KFC,Entrees,"Extra Crispy Tenders, 5 Piece","Extra Crispy Tenders, 5 Piece",,"	-"," ","5 Pieces",630,33,28,0,55,96740
KFC,Entrees,"Fiery Buffalo Hot Wings Value Box","Fiery Buffalo Hot Wings Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,194,g,,510,28,50,0,15,18387
KFC,Entrees,"Grilled Drumstick Value Box","Grilled Drumstick Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,158,g,,380,19,34,0,17,18392
KFC,Entrees,"Grilled Thigh Value Box","Grilled Thigh Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,196,g,,460,25,34,0,23,18393
KFC,Entrees,"HBBQ Hot Wings Value Box","HBBQ Hot Wings Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,199,g,,540,28,57,6,15,18395
KFC,Entrees,"Hot Wings Value Box","Hot Wings Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,173,g,,490,27,45,0,15,18397
KFC,Entrees,"Kentucky Grilled Chicken, Breast","Kentucky Grilled Chicken, Breast, Chicken",,152,g,,220,7,0,0,40,18388
KFC,Entrees,"Kentucky Grilled Chicken, Drumstick","Kentucky Grilled Chicken, Drumstick, Chicken, Lil Bucket, Kids & Adults",,50,g,,90,4,0,0,13,18389
KFC,Entrees,"Kentucky Grilled Chicken, Thigh","Kentucky Grilled Chicken, Thigh, Chicken",,88,g,,170,10,0,0,19,18390
KFC,Entrees,"KFC Famous Bowl, Mashed Potato w/ Gravy","KFC Famous Bowl, Mashed Potato w/ Gravy, Pot Pie, Bowls, Value Boxes & Go Cup, Classics",,543,g,,650,26,73,3,32,1289
KFC,Entrees,"KFC Gizzards","KFC Gizzards, Other",,55,g,,190,11,11,0,13,1284
KFC,Entrees,"KFC Livers","KFC Livers, Other",,55,g,,150,8,8,0,11,1285
KFC,Entrees,"Macaroni & Cheese","Macaroni & Cheese, Sides, Lil Bucket, Kids & Adults",,135,g,,170,6,22,2,5,1991
KFC,Entrees,"OR Drumstick Value Box","OR Drumstick Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,159,g,,400,22,37,0,15,18407
KFC,Entrees,"OR Thigh Value Box","OR Thigh Value Box, Pot Pie, Bowls, Value Boxes & Go Cup",,204,g,,540,32,42,0,20,18408
KFC,Entrees,"Original Chicken, Breast","Original Chicken, Breast w/out Skin or Breading, Chicken",,116,g,,130,2,0,0,29,1147
KFC,Entrees,"Original Recipe Bites Go Cup","Original Recipe Bites Go Cup, Pot Pie, Bowls, Value Boxes & Go Cup",,175,g,,420,21,40,0,19,61931
KFC,Entrees,"Original Recipe Bites Snack Box","Original Recipe Bites Snack Box, Pot Pie, Bowls, Value Boxes & Go Cup",,174,g,,420,21,39,0,19,61929
KFC,Entrees,"Original Recipe Bites, 10 Piece","Original Recipe Bites, 10 Piece, Bites & Hot Shots",,167,g,"10 Piece",330,15,12,0,37,31663
KFC,Entrees,"Original Recipe Bites, 4 Pieces","Original Recipe Bites, 4 Pieces, Kids, Bites & Hot Shots, Lil Bucket",,67,g,"4 Pieces",130,6,5,0,15,61930
KFC,Entrees,"Original Recipe Bites, 6 Piece","Original Recipe Bites, 6 Piece, Bites & Hot Shots",,100,g,"6 Piece",200,9,7,0,22,31662
KFC,Entrees,"Original Recipe Chicken, Breast","Original Recipe Chicken, Breast, Chicken",,178,g,,320,14,13,0,36,1125
KFC,Entrees,"Original Recipe Chicken, Drumstick","Original Recipe Chicken, Drumstick, Chicken",,56,g,,120,7,3,0,11,1126
KFC,Entrees,"Original Recipe Chicken, Thigh","Original Recipe Chicken, Thigh, Chicken",,110,g,,290,21,8,0,18,1127
KFC,Entrees,"	Snack-Size Bowl","	Snack-Size Bowl, Pot Pie, Bowls, Value Boxes & Go Cup",,201,g,,280,13,27,1,16,18413
KFC,Entrees,"Spicy Crispy Chicken, Breast","Spicy Crispy Chicken, Breast, Chicken",,175,g,,520,34,23,0,29,18414
KFC,Entrees,"Spicy Crispy Chicken, Drumstick","Spicy Crispy Chicken, Drumstick, Chicken",,55,g,,150,10,5,0,11,18415
KFC,Entrees,"Spicy Crispy Chicken, Thigh","Spicy Crispy Chicken, Thigh, Chicken",,100,g,,350,27,11,0,15,18416
KFC,"Fried Potatoes","Potato Wedges","Potato Wedges, Sides",,108,g,,290,15,35,0,4,1677
KFC,Salads,"Caesar Side Salad","Caesar Side Salad w/out Dressing or Croutons, Salads & More",,91,g,,40,2,2,1,3,1841
KFC,Salads,"Crispy Chicken BLT Salad","Crispy Chicken BLT Salad w/out Dressing, Salads & More",,366,g,,350,18,18,5,30,1765
KFC,Salads,"Crispy Chicken Caesar Salad","Crispy Chicken Caesar Salad w/out Dressing or Croutons, Salads & More",,306,g,,330,17,16,3,29,1762
KFC,Salads,"House Side Salad","House Side Salad w/out Dressing, Salads & More",,105,g,,15,0,3,2,1,1842
KFC,Sandwiches,"Chicken Littles","Chicken Littles w/out Sauce, Sandwiches",,88,g,,210,8,23,4,14,31665
KFC,Sandwiches,"Chicken Littles w/ Sauce","Chicken Littles w/ Sauce, Sandwiches, Lil Bucket, Kids, Kids & Adults",,101,g,,310,18,23,4,14,31664
KFC,Sandwiches,"Colonel's Original Sandwich","Colonel's Original Sandwich, Sandwiches",,170,g,,450,20,41,7,25,61947
KFC,Sandwiches,"Crispy Twister","Crispy Twister w/out Sauce, Sandwiches",,218,g,,490,19,51,3,28,18366
KFC,Sandwiches,"Crispy Twister w/ Sauce","Crispy Twister w/ Sauce, Sandwiches",,240,g,,610,32,52,4,29,365
KFC,Sandwiches,Doublicious,"Doublicious, Sandwiches",,190,g,,530,27,42,7,30,18368
KFC,Sandwiches,"Honey BBQ Sandwich","Honey BBQ Sandwich, Sandwiches",,161,g,,320,"	3.5",47,21,24,358
