Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"Panda Express",Entrees,"Asian Chicken","Asian Chicken, Chicken Entree",,170,g*,,340,13,14,10,41,62680
"Panda Express",Entrees,"Asian Chicken, Kids","Asian Chicken, Chicken, Kids",,102,g*,,200,8,8,6,25,62676
"Panda Express",Entrees,"Beijing Beef","Beijing Beef w/ Bell Peppers & Sliced Onions, Spicy, Beef Entree",,159,g*,,690,35,59,32,21,4504
"Panda Express",Entrees,"Beijing Beef, Kids","Beijing Beef w/ Bell Peppers & Sliced Onions, Spicy, Beef, Kids",,119,g*,,520,26,44,24,16,62668
"Panda Express",Entrees,"Black Pepper Chicken","Black Pepper Chicken w/ Chopped Celery, Sliced Onions & Mild Ginger Sauce, Wok Smart Entrees are 250 Calories or Less per Single Serving, Chicken Entrees",,173,g*,,200,18,14,7,13,4490
"Panda Express",Entrees,"Black Pepper Chicken, Kids","Black Pepper Chicken w/ Chopped Celery, Sliced Onions & Mild Ginger Sauce, Chicken, Kids",,130,g*,,140,14,11,5,10,62666
"Panda Express",Entrees,"Broccoli Beef","Broccoli Beef, Wok Smart Entrees are 250 Calories or Less per Single Serving, Beef Entree",,153,g*,,120,9,12,4,10,4505
"Panda Express",Entrees,"Broccoli Beef, Kids","Broccoli Beef, Beef, Kids",,116,g*,,100,7,9,3,7,62677
"Panda Express",Entrees,"Chow Mein","Chow Mein w/ Shredded Onions, Crisp Celery & Fresh Cabbage, Sides",,266,g*,,490,22,65,9,13,4484
"Panda Express",Entrees,"Chow Mein, Kids","Chow Mein, Side, Kids",,147,g*,,280,12,36,5,7,62679
"Panda Express",Entrees,"Crispy Shrimp","6 Crispy Shrimp, Appetizers",,99,g*,"6 Pieces",260,13,26,2,9,4509
"Panda Express",Entrees,"Crispy Shrimp, 4 Pieces, Kids","Crispy Shrimp, 4 Pieces, Shrimp, Kids",,65,g*,"4 Pieces",170,8,17,1,6,62663
"Panda Express",Entrees,"Eggplant Tofu","Eggplant Tofu w/ Eggplant & Red Bell Peppers, Veggie Entree",,173,g*,,310,24,23,17,7,4487
"Panda Express",Entrees,"Eggplant Tofu, Kids","Eggplant & Tofu, Spicy, Veggie, Kids",,130,g*,,250,18,17,13,5,62664
"Panda Express",Entrees,"Grilled Asian Chicken","Grilled Asian Chicken, Chicken Entree",,170,g*,,300,13,8,8,36,62673
"Panda Express",Entrees,"Grilled Asian Chicken, Kids","Grilled Asian Chicken, Chicken, Kids",,102,g*,,180,8,5,5,22,62665
"Panda Express",Entrees,"Grilled Teriyaki Chicken","Grilled Teriyaki Chicken, Wok Smart Entrees are 250 Calories or Less per Single Serving, Chicken Entree",,170,g*,,300,13,8,8,36,32109
"Panda Express",Entrees,"Grilled Teriyaki Chicken, Kids","Grilled Teriyaki Chicken, Chicken, Kids",,102,g*,,180,8,5,5,22,62661
"Panda Express",Entrees,"Honey Sesame Chicken Breast","Honey Sesame Chicken Breast, Chicken Entree",,150,g*,,420,22,40,19,16,99070
"Panda Express",Entrees,"Honey Sesame Chicken Breast, Kids","Honey Sesame Chicken Breast, Chicken Breast, Kids",,113,g*,,320,17,30,14,12,99073
"Panda Express",Entrees,"Honey Walnut Shrimp","Honey Walnut Shrimp, Seafood Entree",,105,g*,,370,23,35,9,13,20536
"Panda Express",Entrees,"Honey Walnut Shrimp, Kids","Honey Walnut Shrimp, Shrimp, Kids",,57,g*,,200,13,14,5,7,62669
