"Restaurant","Food Category","Item_Name","Item Description 2015","Servings Per Item 2015","Serving Size 2015","Serving Size Unit 2015","Servings Size Text 2015","Calories 2015","Total Fat (g) 2015","Carbohydrates (g) 2015","Sugar (g) 2015","Protein (g) 2015",Menu_Item_ID
"Panera Bread",Entrees,"Cheese Tortellini w/ Alfredo Sauce & Asiago Parmesan Blend, Small","	Cheese Tortellini w/ 3-Cheese Blend Tortellini Pasta, Alfredo Sauce & Asiago Parmesan Blend, Small, also called Tortellini Alfredo",,"	-"," ","1 Cup",390,18,44,2,15,62702
"Panera Bread",Entrees,"Chicken Sorrentina, Large","	Chicken Sorrentina w/ Egg & Spinach Filled 3-Cheese Blend Ravioli, San Marzano Tomato & Extra Virgin Olive Oil Sauce, Baby Spinach, Antibiotic Free Smoked Pulled Chicken & Asiago Parmesan, Large, Pastas",,"	-"," ",,780,39,73,9,36,62696
"Panera Bread",Entrees,"Chicken Sorrentina, Small","	Chicken Sorrentina w/ Egg & Spinach Filled 3-Cheese Blend Ravioli, San Marzano Tomato & Extra Virgin Olive Oil Sauce, Baby Spinach, Antibiotic Free Smoked Pulled Chicken & Asiago Parmesan, Small, Pastas",,"	-"," ","1 Cup",390,19,36,4,18,62697
"Panera Bread",Entrees,"Chicken Tortellini Alfredo, Large","	Chicken Tortellini Alfredo w/ 3-Cheese Blend Tortellini Pasta, Alfredo Sauce, Smoked Pulled Chicken & Asiago Parmesan, Large, Pastas",,"	-"," ",,840,37,89,4,40,62694
"Panera Bread",Entrees,"Chicken Tortellini Alfredo, Small","Chicken Tortellini Alfredo w/ Smoked Pulled Chicken, Cheese Tortellini w/ Alfredo Sauce & Asiago Parmesan Blend, Small, Pastas",,"	-"," ","1 Cup",420,18,45,2,20,62695
"Panera Bread",Entrees,"Four Cheese Baked Egg Souffle","Four Cheese Baked Egg Souffle, Baked Egg Souffles, Breakfast Favorites",,"	-"," ",,480,29,37,8,16,3811
"Panera Bread",Entrees,"Ham & Swiss Baked Egg Souffle","Ham & Swiss Baked Egg Souffle, Baked Egg Souffles, Breakfast Favorites",,"	-"," ",,490,30,37,8,19,99105
"Panera Bread",Entrees,"Kids Buttered Ribbon Noodles","Kids Buttered Ribbon Noodles w/ Ribbon Shaped Noodles, Creamy Butter & Sea Salt; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,350,12,52,0,8,62699
"Panera Bread",Entrees,"Lentil Quinoa Bowl w/ Cage Free Egg","Lentil Quinoa Bowl w/ Cage Free Egg, Broth Bowls, New, What We're Celebrating; Choice of Adding: Half Salad, Half Sandwich or 1 Flatbread",,"	-"," ",,380,13,51,5,19,99109
"Panera Bread",Entrees,"Lentil Quinoa Bowl w/ Chicken","	Lentil Quinoa Bowl w/ Chicken, Egg, Organic Quinoa & Brown Rice, Lentil Blend, Tomato Sofrito, Fresh Kale, Spinach, Lemon Wheel & Umami Soy-Miso Broth, Broth Bowls, New, What We're Celebrating; Choice of Adding: Half Salad, Half Sandwich or 1 Flatbread",,"	-"," ",,410,9,52,5,34,99108
"Panera Bread",Entrees,"Mac & Cheese, Large","Mac & Cheese w/ Shell Pasta & Vermont White Cheddar Cheese Sauce, Large, Pastas",,"	-"," ",,980,61,75,12,34,20729
"Panera Bread",Entrees,"Mac & Cheese, Small","Mac & Cheese w/ Shell Pasta & Vermont White Cheddar Cheese Sauce, Small, Kids & Adults Menu, Pastas; Choice of Adding: Squeezable Organic Yogurt, Apple or Soft Dinner Roll",,"	-"," ",,490,30,38,6,17,20730
"Panera Bread",Entrees,"Pesto Sacchettini, Large","	Pesto Sacchettini w/ Purse Shaped 6-Cheese Blend Pasta, Nut Free Basil Pesto & Asiago Parmesan, Large, Pastas",,"	-"," ",,930,52,85,1,29,62703
"Panera Bread",Entrees,"Pesto Sacchettini, Small","	Pesto Sacchettini w/ Purse Shaped 6-Cheese Blend Pasta, Nut Free Basil Pesto & Asiago Parmesan, Small, Pastas",,"	-"," ","1 Cup",460,26,43,0,14,62704
"Panera Bread",Entrees,"Power Almond Quinoa Oatmeal","Power Almond Quinoa Oatmeal w/ Organic Steel Cut Oats, Organic Quinoa, Sliced Toasted Almonds, Ground Cinnamon & Honey, New, What We're Celebrating, Breakfast Favorites",,"	-"," ",,290,6,51,8,8,99104
"Panera Bread",Entrees,"Power Breakfast Egg Bowl w/ Steak","Power Breakfast Egg Bowl w/ Steak, Avocado, Black Pepper, Salt, Fresh Tomatoes, Egg & Wheat Starch, Power Menu, Hidden Menu",,"	-"," ",,270,17,6,2,24,32201
"Panera Bread",Entrees,"Power Breakfast Egg White Bowl w/ Roasted Turkey","Power Breakfast Egg White Bowl w/ Roasted Turkey, Black Pepper, Salt, Basil Pesto, Roasted Red Bell Pepper Strips, Fresh Baby Spinach, Egg Whites & Wheat Starch, Power Menu, Hidden Menu",,"	-"," ",,180,5,5,1,27,32203
"Panera Bread",Entrees,"Power Chicken Hummus Bowl","Power Chicken Hummus Bowl w/ Cilantro Jalapeno Hummus, Fresh Cilantro, Cucumbers, Red Onions, Fresh Tomatoes, Fresh Baby Spinach, All Natural Antibiotic Free Citrus & Pepper Chicken & Fresh Lemon Juice, Power Menu, PM Power, Hidden Menu",,"	-"," ",,270,10,18,5,27,32170
"Panera Bread",Entrees,"Power Steak Lettuce Wraps","Power Steak Lettuce Wraps w/ Fresh Cucumber, Green Leaf Lettuce, Red Onions, Fresh Tomatoes, Basil Pesto, Steak & Fresh Lemon Juice, Power Menu, Hidden Menu",,241,g,,230,10,9,4,28,32172
"Panera Bread",Entrees,"Soba Noodle Bowl w/ Chicken","Soba Noodle Bowl w/ Chicken, Broth Bowls, New, What We're Celebrating; Choice of Adding: Half Salad, Half Sandwich or 1 Flatbread",,"	-"," ",,390,9,47,4,31,99106
"Panera Bread",Entrees,"Soba Noodle Bowl w/ Edamame","	Soba Noodle Bowl w/ Edamame, Antibiotic Free Chicken, Fresh Spinach, Napa Cabbage Blend, Roasted Mushroom & Onion Blend, Sesame Seeds, Cilantro & Soy-Miso Broth, Broth Bowls, New, What We're Celebrating; Choice of Adding: Half Salad, Half Sandwich or 1 Flatbread",,"	-"," ",,370,12,52,6,17,99107
"Panera Bread",Entrees,"Spinach & Artichoke Baked Egg Souffle","Spinach & Artichoke Baked Egg Souffle, Baked Egg Souffles, Breakfast Favorites",,"	-"," ",,540,34,39,9,19,3812
"Panera Bread",Entrees,"Spinach & Bacon Baked Egg Souffle","Spinach & Bacon Baked Egg Souffle, Baked Egg Souffles, Breakfast Favorites",,"	-"," ",,570,37,37,8,23,3813
"Panera Bread",Entrees,"Steel Cut Oatmeal w/ Strawberries & Pecans","Steel Cut Oatmeal w/ Cinnamon Crunch Topping, Strawberries & Pecans, Breakfast Favorites",,"	-"," ",,340,14,51,16,6,20735
"Panera Bread",Entrees,"Strawberry Granola Parfait","Strawberry Granola Parfait w/ Low Fat Organic Vanilla Yogurt, Maple Butter Pecan Granola, Whole Grain Oats & Fresh Strawberries, Breakfast Favorites",,"	-"," ",,310,11,43,30,9,20736
"Panera Bread",Entrees,"Tortellini Alfredo, Large","	Tortellini Alfredo w/ 3-Cheese Blend Tortellini Pasta, Alfredo Sauce & Asiago Parmesan Blend w/out Chicken, Large",,"	-"," ",,790,35,88,3,29,62701
"Panera Bread",Salads,"Asian Sesame Chicken Salad","Asian Sesame Chicken Salad w/ Antibiotic Free Chicken, Romaine, Cilantro, Sliced Almonds, Sesame Seeds, Wonton Strips & Asian Sesame Vinaigrette, Salads",,"	-"," ",,420,22,25,5,32,1775
"Panera Bread",Salads,"BBQ Chicken Salad","BBQ Chicken Salad w/ Antibiotic Free Chicken, Romaine, Roasted Corn, Black Beans, Frizzled Onions, BBQ Ranch Dressing & BBQ Sauce, Salads",,"	-"," ",,450,20,38,19,31,20638
"Panera Bread",Salads,"Caesar Chicken Salad","Caesar Chicken Salad w/ Chicken, Romaine, Asiago Parmesan, Homemade Asiago Croutons & Caesar Dressing, Salads, Hand Tossed Salads, also called Chicken Caesar Salad",,"	-"," ",,440,26,19,2,34,1777
"Panera Bread",Salads,"Caesar Salad","Caesar Salad w/ Romaine, Asiago Parmesan, Homemade Asiago Croutons & Caesar Dressing w/out Chicken, Salads",,"	-"," ",,310,24,17,2,9,1846
"Panera Bread",Salads,"Caesar Salad, Half","Caesar Salad w/ Caesar Dressing, Asiago Parmesan Blend, Chopped Romaine Lettuce & Asiago Croutons, Half Salads, Salads, Kids, also called Kids Caesar Salad; Choice in: You Pick Two, Kids & Adults Menu",,"	-"," ",,160,12,8,1,5,1851
"Panera Bread",Salads,"Chicken Cobb Salad","Chicken Cobb Salad w/out Avocado, Salads",,"	-"," ",,540,39,9,3,40,99110
"Panera Bread",Salads,"Chicken Cobb Salad w/ Avocado","Whole Chicken Cobb Salad w/ Avocado Antibiotic Free Chicken, Romaine, Tomatoes, Applewood Smoked Bacon, Gorgonzola, Hard Boiled Cage Free Egg & Herb Vinaigrette, Salads, Hand Tossed Salads",,486,g,,640,47,14,3,42,32154
"Panera Bread",Salads,"Classic Salad","Classic Salad w/ Field Greens, Romaine, Tomatoes, Cucumbers, Red Onions & Reduced Fat Balsamic Vinaigrette w/out Chicken, Salads",,"	-"," ",,170,11,17,12,2,1847
"Panera Bread",Salads,"Classic Salad w/ Chicken","Classic Salad w/ Chicken, Field Greens, Romaine, Tomatoes, Cucumbers, Red Onions, Reduced Fat Balsamic Vinaigrette, Salads, Hand Tossed Salads",,"	-"," ",,300,13,19,12,27,99112
"Panera Bread",Salads,"Fuji Apple Chicken Salad","Fuji Apple Chicken Salad w/ Antibiotic Free Chicken, Field Greens, Romaine, Tomatoes, Red Onions, Pecans, Gorgonzola, Apple Chips & White Balsamic Apple Vinaigrette, Salads, Hand Tossed Salads",,"	-"," ",,550,34,35,21,32,1776
"Panera Bread",Salads,"Greek Salad","Greek Salad w/ Romaine, Tomatoes, Feta, Pepperoncini, Red Onions, Kalamata Olives, Pepper & Greek Dressing w/out Chicken, Salads, Hand Tossed Salads",,"	-"," ",,350,31,12,4,8,1849
