Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Subway,Fried Potatoes,"Hash Browns, Breakfast Sides","Hash Browns, Breakfast Sides, Breakfast & Pizza",,102,g,,210,28,2,34570
Subway,Salads,Big Philly Cheese Steak Salad,"Big Philly Cheese Steak Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads",,420,g,,330,17,32,23844
Subway,Salads,Black Forest Ham Salad,"Black Forest Ham Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,340,g,,110,12,12,1893
Subway,Salads,BLT Salad,"BLT Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads",,304,g,,150,10,10,23825
Subway,Salads,Buffalo Chicken Salad,"Buffalo Chicken Salad w/ Ranch Sauce, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Cheese, Chopped Salads, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,411,g,,360,13,20,34508
Subway,Salads,Chicken & Bacon Ranch Melt Salad,"Chicken & Bacon Ranch Melt Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes & Ranch Dressing, Chopped Salads, Salads",,437,g,,510,14,30,102297
Subway,Salads,Chicken & Bacon Ranch Salad,"Chicken & Bacon Ranch Salad w/ Ranch Dressing, Monterey Cheddar Cheese, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,434,g,,510,14,30,27216
Subway,Salads,Chopped Salads,"Chopped Salads w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,426,g,,220,10,36,102292
Subway,Salads,Cold Cut Combo Salad,"Cold Cut Combo Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,348,g,,180,12,12,23828
Subway,Salads,Double Chicken Salad,"Double Chicken Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,427,g,,220,10,36,34520
