"Restaurant","Food Category","Item_Name","Item Description 2015","Servings Per Item 2015","Serving Size 2015","Serving Size Unit 2015","Servings Size Text 2015","Calories 2015","Total Fat (g) 2015","Carbohydrates (g) 2015","Sugar (g) 2015","Protein (g) 2015",Menu_Item_ID
Subway,"Fried Potatoes","Hash Browns, Breakfast Sides","Hash Browns, Breakfast Sides, Breakfast & Pizza",,102,g,,210,10,28,0,2,34570
Subway,Salads,"Big Philly Cheese Steak Salad","Big Philly Cheese Steak Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads",,420,g,,330,16,17,7,32,23844
Subway,Salads,"Black Forest Ham Salad","Black Forest Ham Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,340,g,,110,3,12,6,12,1893
Subway,Salads,"BLT Salad","BLT Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads",,304,g,,150,8,10,5,10,23825
Subway,Salads,"Buffalo Chicken Salad","Buffalo Chicken Salad w/ Ranch Sauce, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Cheese, Chopped Salads, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,411,g,,360,25,13,7,20,34508
Subway,Salads,"Chicken & Bacon Ranch Melt Salad","Chicken & Bacon Ranch Melt Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes & Ranch Dressing, Chopped Salads, Salads",,437,g,,510,38,14,7,30,102297
Subway,Salads,"Chicken & Bacon Ranch Salad","Chicken & Bacon Ranch Salad w/ Ranch Dressing, Monterey Cheddar Cheese, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,434,g,,510,38,14,7,30,27216
Subway,Salads,"Chopped Salads","Chopped Salads w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,426,g,,220,"	4.5",10,4,36,102292
Subway,Salads,"Cold Cut Combo Salad","Cold Cut Combo Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,348,g,,180,11,12,5,12,23828
Subway,Salads,"Double Chicken Salad","Double Chicken Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,427,g,,220,"	4.5",10,4,36,34520
Subway,Salads,"Italian BMT Salad","Italian BMT Salad w/ Lettuce, Spinach, Tomatoes, Onions, Green Peppers, Cucumbers & Olives w/out Dressing, Chopped Salads, Salads",,349,g,,230,15,12,6,14,23831
Subway,Salads,"Meatball Marinara Salad","Meatball Marinara Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,423,g,,310,17,25,10,16,23832
Subway,Salads,"Monterey Chicken Melt Salad","Monterey Chicken Melt Salad w/ Monterey Cheddar, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,355,g,,190,7,10,4,22,102293
Subway,Salads,"Oven Roasted Chicken Salad","Oven Roasted Chicken Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,355,g,,140,"	2.5",10,4,19,1795
Subway,Salads,"Roast Beef Salad","Roast Beef Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Cheese & Dressing, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,355,g,,140,"	3.5",11,5,19,1894
Subway,Salads,"Spicy Italian Salad","Spicy Italian Salad w/ Pepperoni, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Chopped Salads, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,343,g,,310,23,11,6,14,23836
Subway,Salads,"Steak & Cheese Salad","Steak & Cheese Salad w/ American Cheese, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,366,g,,210,8,14,6,20,23838
Subway,Salads,"Subway Club Salad","Subway Club Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,362,g,,140,"	3.5",12,5,18,1897
Subway,Salads,"Subway Melt Salad","Subway Melt Salad w/ Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing, Chopped Salads, Salads",,363,g,,200,10,13,6,18,23842
Subway,Salads,"Sweet Onion Chicken Teriyaki Salad","Sweet Onion Chicken Teriyaki Salad w/ Sweet Onion Sauce, Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Cheese, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,411,g,,230,3,32,22,20,1796
Subway,Salads,"Sweet Onion Chicken Teriyaki Salad, Low Fat Chopped Salad","Sweet Onion Chicken Teriyaki Salad w/ Sweet Onion Dressing, Lettuce, Spinach, Tomatoes, Cucumbers, Onions, Green Peppers & Olives, Low Fat Chopped Salad, Salads",,420,g,,240,3,34,22,20,102294
Subway,Salads,"Tuna Salad","Tuna Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Chopped Salads, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,358,g,,310,24,10,4,15,24065
Subway,Salads,"Turkey Breast & Ham Salad","Turkey Breast & Ham Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,341,g,,110,"	2.5",12,5,12,27217
Subway,Salads,"Turkey Breast & Ham, Low Fat Chopped Salad","Turkey Breast & Ham w/ Lettuce, Spinach, Tomatoes, Cucumbers, Onions, Green Peppers & Olives, Low Fat Chopped Salad, Salads",,342,g,,110,"	2.5",12,5,12,102295
Subway,Salads,"Turkey Breast Salad","Turkey Breast Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,341,g,,110,2,12,5,12,1895
Subway,Salads,"Veggie Delite Salad","Veggie Delite Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,284,g,,60,1,10,4,3,1861
Subway,Salads,"Veggie Delite, Low Fat Chopped Salad","Veggie Delite w/ Lettuce, Spinach, Tomatoes, Cucumbers, Onions, Green Peppers & Olives, Low Fat Chopped Salad, Salads",,286,g,,50,1,9,4,3,102296
