Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Taco Bell,Burgers,Beefy Cheddar Crunchwrap Slider,"Beefy Cheddar Crunchwrap Slider w/ Nacho Cheese Sauce, Beef, Cheddar Cheese & Crunchy Fritos Chips, Specialties",,152,g,1 Slider,410,46,14,102401
Taco Bell,Burgers,BLT Crunchwrap Slider,"BLT Crunchwrap Slider w/ Bacon, Crisp Lettuce, Diced Tomatoes, Creamy Avocado Ranch Sauce & Crunchy Fritos Chips, Burgers, Specialties, Fresco Option Available For a 25% Reduction In Fat",,139,g,1 Slider,430,43,12,102400
Taco Bell,Burgers,Spicy Chicken Crunchwrap Slider,"Spicy Chicken Crunchwrap Slider w/ Shredded, Marinated All White Meat Chicken, Creamy Chipotle Sauce & Crunchy Fritos Chips, Burgers, Specialties, Fresco Option For a 25% Reduction In Fat",,139,g,1 Slider,400,42,15,102402
Taco Bell,Entrees,Beefy Mini Quesadilla,"Beefy Mini Quesadilla w/ Beef, Grilled Flour Tortilla, Creamy Chipotle Sauce & 3 Cheese Blend, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,84,g,1 Mini Quesadilla,210,17,9,102406
Taco Bell,Entrees,Cantina Bowl w/ Steak,"Cantina Bowl w/ Steak, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream Served on a Bed of Latin Rice & Beans, Specialties, Fresco Option Available For 25% Reduction In Fat",,370,g,,500,47,29,34573
Taco Bell,Entrees,Cantina Bowl w/ Veggie,"Cantina Bowl w/ Veggie, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream Served on a Bed of Latin Rice & Beans, Specialties, Fresco Option Available For 25% Reduction In Fat",,347,g,,460,58,16,34574
Taco Bell,Entrees,Cantina Power Bowl w/ Chicken,"Cantina Power Bowl w/ Chicken, Latin Rice, Beans, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream, Specialties, Fresco Option Available For 25% Reduction In Fat",,370,g,1 Bowl,490,49,29,34572
Taco Bell,Entrees,Cheese Quesadilla,"Cheese Quesadilla, Specialties",,139,g,,460,37,19,24344
Taco Bell,Entrees,Chicken Quesadilla,"Chicken Quesadilla w/ Chicken, Grilled Tortilla, 3 Cheese Blend & Creamy Jalapeno Sauce, Specialties",,181,g,1 Quesadilla,510,39,28,2767
Taco Bell,Entrees,Double Tostada,"Double Tostada, Specialties",,179,g,,270,32,12,102407
Taco Bell,Entrees,Quesarito,"Quesarito w/ Seasoned Beef, Latin Rice, Chipotle Sauce, Reduced Fat Sour Cream & Wrapped in Grilled Quesadilla w/ Melted Cheeses, Burritos, Fresco Option For a 25% Reduction In Fat",,259,g,1 Item,650,65,22,102403
Taco Bell,Entrees,Shredded Chicken Mini Quesadilla,"Shredded Chicken Mini Quesadilla w/ Grilled Flour Tortilla, Shredded Chicken, 3 Cheese Blend & Creamy Chipotle Sauce, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,84,g,1 Mini Quesadilla,180,15,12,102404
Taco Bell,Entrees,Side of Eggs,"Side of Eggs, Breakfast",,28,g,,60,1,3,64349
Taco Bell,Entrees,Spicy Tostada,"Spicy Tostada w/ Hearty Beans, Crunchy Tostada Shell, Crisp Lettuce, Real Cheese, Tangy Red Sauce & Creamy Chipotle Sauce, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,113,g,1 Tostada,200,22,7,102405
