Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories,Fat,Carbohydrates,Sugar,Protein,Menu_Item_ID
"Taco Bell",Burgers,"Beefy Cheddar Crunchwrap Slider","Beefy Cheddar Crunchwrap Slider w/ Nacho Cheese Sauce, Beef, Cheddar Cheese & Crunchy Fritos Chips, Specialties",,152,g,"1 Slider",410,19,46,3,14,102401
"Taco Bell",Burgers,"BLT Crunchwrap Slider","BLT Crunchwrap Slider w/ Bacon, Crisp Lettuce, Diced Tomatoes, Creamy Avocado Ranch Sauce & Crunchy Fritos Chips, Burgers, Specialties, Fresco Option Available For a 25% Reduction In Fat",,139,g,"1 Slider",430,23,43,4,12,102400
"Taco Bell",Burgers,"Spicy Chicken Crunchwrap Slider","Spicy Chicken Crunchwrap Slider w/ Shredded, Marinated All White Meat Chicken, Creamy Chipotle Sauce & Crunchy Fritos Chips, Burgers, Specialties, Fresco Option For a 25% Reduction In Fat",,139,g,"1 Slider",400,20,42,3,15,102402
"Taco Bell",Entrees,"Beefy Mini Quesadilla","Beefy Mini Quesadilla w/ Beef, Grilled Flour Tortilla, Creamy Chipotle Sauce & 3 Cheese Blend, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,84,g,"1 Mini Quesadilla",210,12,17,1,9,102406
"Taco Bell",Entrees,"Cantina Bowl w/ Steak","Cantina Bowl w/ Steak, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream Served on a Bed of Latin Rice & Beans, Specialties, Fresco Option Available For 25% Reduction In Fat",,370,g,,500,22,47,3,29,34573
"Taco Bell",Entrees,"Cantina Bowl w/ Veggie","Cantina Bowl w/ Veggie, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream Served on a Bed of Latin Rice & Beans, Specialties, Fresco Option Available For 25% Reduction In Fat",,347,g,,460,19,58,4,16,34574
"Taco Bell",Entrees,"Cantina Power Bowl w/ Chicken","Cantina Power Bowl w/ Chicken, Latin Rice, Beans, Crisp Romaine Lettuce, Guacamole Made From Real Hass Avocados, Freshly Prepared Pico De Gallo, Avocado Dressing, Cheddar Cheese & Reduced Fat Sour Cream, Specialties, Fresco Option Available For 25% Reduction In Fat",,370,g,"1 Bowl",490,20,49,3,29,34572
"Taco Bell",Entrees,"Cheese Quesadilla","Cheese Quesadilla, Specialties",,139,g,,460,26,37,3,19,24344
"Taco Bell",Entrees,"Chicken Quesadilla","Chicken Quesadilla w/ Chicken, Grilled Tortilla, 3 Cheese Blend & Creamy Jalapeno Sauce, Specialties",,181,g,"1 Quesadilla",510,27,39,3,28,2767
"Taco Bell",Entrees,"Double Tostada","Double Tostada, Specialties",,179,g,,270,11,32,2,12,102407
"Taco Bell",Entrees,Quesarito,"Quesarito w/ Seasoned Beef, Latin Rice, Chipotle Sauce, Reduced Fat Sour Cream & Wrapped in Grilled Quesadilla w/ Melted Cheeses, Burritos, Fresco Option For a 25% Reduction In Fat",,259,g,"1 Item",650,34,65,5,22,102403
"Taco Bell",Entrees,"Shredded Chicken Mini Quesadilla","Shredded Chicken Mini Quesadilla w/ Grilled Flour Tortilla, Shredded Chicken, 3 Cheese Blend & Creamy Chipotle Sauce, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,84,g,"1 Mini Quesadilla",180,8,15,1,12,102404
"Taco Bell",Entrees,"Side of Eggs","Side of Eggs, Breakfast",,28,g,,60,"	4.5",1,0,3,64349
"Taco Bell",Entrees,"Spicy Tostada","Spicy Tostada w/ Hearty Beans, Crunchy Tostada Shell, Crisp Lettuce, Real Cheese, Tangy Red Sauce & Creamy Chipotle Sauce, Specialties, Cravings, Fresco Option Available For a 25% Reduction In Fat",,113,g,"1 Tostada",200,10,22,1,7,102405
"Taco Bell",Entrees,"Steak Quesadilla","Steak Quesadilla w/ Marinated Premium Thick Cut Steak, Grilled Tortilla, 3 Cheese Blend & Creamy Jalapeno Sauce, Specialties",,181,g,"1 Quesadilla",520,28,38,3,28,2768
"Taco Bell","Fried Potatoes","Cheesy Fiesta Potatoes","Cheesy Fiesta Potatoes w/ Warm Nacho Cheese & Reduced Fat Sour Cream, Sides, Desserts & Sides, Fresco Option for a 25% Reduction in Fat",,126,g,,270,15,31,1,4,1686
"Taco Bell","Fried Potatoes","Hash Brown","Hash Brown, Breakfast",,54,g,,160,11,14,0,1,34608
"Taco Bell",Salads,"Express Taco Salad w/ Chips","Express Taco Salad w/ Chips, Specialties, Taco Salads",,398,g,,580,29,57,5,23,1707
"Taco Bell",Salads,"Fiesta Taco Salad, Beef","Fiesta Taco Salad, Beef w/ Crispy Tortilla Bowl, Chunky Beans, Real Cheddar Cheese, Latin Rice, Crisp Shredded Lettuce, Diced Ripe Tomatoes, Red Tortilla Strips, Reduced Fat Sour Cream & Cantina Salsa On Side, Taco Salads",,457,g,"1 Bowl",780,42,74,7,26,24319
"Taco Bell",Salads,"Fiesta Taco Salad, Chicken","Fiesta Taco Salad, Chicken w/ Crispy Tortilla Bowl, Chunky Beans, Real Cheddar Cheese, Latin Rice, Crisp Shredded Lettuce, Diced Ripe Tomatoes, Red Tortilla Strips, Reduced Fat Sour Cream & Cantina Salsa On Side, Taco Salads",,457,g,"1 Bowl",740,35,72,7,34,1709
"Taco Bell",Salads,"Fiesta Taco Salad, Steak","Fiesta Taco Salad, marinated Premium Thick Cut Steak Steak w/ Crispy Tortilla Bowl, Chunky Beans, Real Cheddar Cheese, Latin Rice, Crisp Shredded Lettuce, Diced Ripe Tomatoes, Red Tortilla Strips, Reduced Fat Sour Cream & Cantina Salsa On Side, Taco Salads",,457,g,"1 Bowl",750,37,71,7,34,24321
"Taco Bell",Sandwiches,"7 Layer Burrito","7 Layer Burrito w/ Warm Soft Flour Tortilla, Latin Rice, Hearty Beans, 3 Cheese Blend, Crisp Shredded Lettuce, Diced Ripe Tomatoes, Reduced Fat Sour Cream & Chunky Guacamole, Burritos, Fresco Option For a 25% Reduction In Fat",,232,g,"1 Burrito",430,16,57,4,15,24327
"Taco Bell",Sandwiches,"	A.M. Crunchwrap w/ Bacon","	A.M. Crunchwrap w/ Bacon, Warm Flour Tortilla, Fluffy Scrambled Eggs, Golden Crispy Hashbrown, Real Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Specialties",,207,g,"1 Crunchwrap",660,41,51,3,22,34605
"Taco Bell",Sandwiches,"	A.M. Crunchwrap w/ Sausage","	A.M. Crunchwrap w/ Sausage, Warm Flour Tortilla, Golden Crispy Hashbrown, Fluffy Scrambled Eggs, Real Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Specialties",,221,g,"1 Crunchwrap",710,46,51,3,21,34606
"Taco Bell",Sandwiches,"	A.M. Crunchwrap w/ Steak","	A.M. Crunchwrap w/ Marinated Premium Thick Cut Steak, Warm Flour Tortilla, Fluffy Scrambled Eggs, Golden Crispy Hash Brown, Real Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Specialties",,235,g,"1 Crunchwrap",650,38,51,3,26,102422
"Taco Bell",Sandwiches,"	A.M. Grilled Taco w/ Bacon","	A.M. Grilled Taco w/ Bacon, Melted Cheddar Cheese, Fluffy Scrambled Eggs & Warm Tortilla, Breakfast",,78,g,,230,14,15,1,12,102408
"Taco Bell",Sandwiches,"	A.M. Grilled Taco w/ Egg & Cheese","	A.M. Grilled Taco w/ Egg, Cheese & Warm Tortilla, Breakfast",,64,g,"1 Taco",170,9,15,1,7,102432
"Taco Bell",Sandwiches,"	A.M. Grilled Taco w/ Sausage","	A.M. Grilled Taco w/ Sausage, Warm Tortilla, Fluffy Scrambled Eggs & Melted Cheddar Cheese, Breakfast",,78,g,,220,14,15,1,9,64365
"Taco Bell",Sandwiches,"Bean Burrito","Bean Burrito w/ Warm Soft Flour Tortilla, Hearty Beans, Real Cheddar Cheese, Tangy Red Sauce & Diced Onions, Burritos",,190,g,"1 Burrito",370,11,55,3,15,2707
"Taco Bell",Sandwiches,"	Beefy 5-Layer Burrito","	Beefy 5-Layer Burrito w/ Flour Tortilla, Layers of Seasoned Beef, Beans, Real Cheddar Cheese, Reduced Fat Sour Cream & Nacho Cheese Sauce, Burritos, Fresco Option For a 25 % Reduction In Fat",,230,g,"1 Burrito",510,20,64,5,19,24329
"Taco Bell",Sandwiches,"Beefy Fritos Burrito","Beefy Fritos Burrito, Beef w/ Flour Tortilla, Frito Chips, Latin Rice & Warm Nacho Cheese Sauce, Cravings, Burritos",,181,g,"1 Burrito",440,18,55,3,13,102410
"Taco Bell",Sandwiches,"Beefy Nacho Griller","Beefy Nacho Griller w/ Beef, Warm Flour Tortilla, Nacho Cheese Sauce & Crisp Red Strips, Specialties, Fresco Option For a 25% Reduction In Fat",,156,g,"1 Griller",400,18,48,3,12,34586
"Taco Bell",Sandwiches,"Black Bean Burrito","Black Bean Burrito w/ Warm Flour Tortilla, Latin Rice, Black Beans, 3 Cheese Blend & Tangy Red Sauce, Burritos, Fresco Option For a 25% Reduction In Fat",,204,g,"1 Burrito",390,12,57,3,14,34584
